ok,ms,status,grok_proxy,raw,error
0,277,,http://170.106.173.62:8080,http://170.106.173.62:8080,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,367,,http://43.153.82.179:8888,http://43.153.82.179:8888,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,818,,http://12.50.107.217:80,http://12.50.107.217:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,822,,http://52.33.78.11:8443,http://52.33.78.11:8443,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,839,,http://138.91.159.185:80,http://138.91.159.185:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,844,,http://174.138.119.88:80,http://174.138.119.88:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,845,,http://12.50.107.220:80,http://12.50.107.220:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,845,,http://34.94.46.8:80,http://34.94.46.8:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,848,,http://13.221.171.114:80,http://13.221.171.114:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,860,,http://34.122.187.196:80,http://34.122.187.196:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,907,,http://12.50.107.219:80,http://12.50.107.219:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,909,,http://47.77.215.95:80,http://47.77.215.95:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,916,,http://162.240.19.30:80,http://162.240.19.30:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,924,,http://137.66.1.45:80,http://137.66.1.45:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,924,,http://34.43.46.91:443,http://34.43.46.91:443,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,930,,http://150.136.163.51:80,http://150.136.163.51:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,948,,http://150.136.153.231:80,http://150.136.153.231:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
